anno;rilevatore;mese;giorno_settimana;fascia_oraria;comune;nome_strada;tipo_luogo;indirizzo;lon;lat;kmt_etm;fondo;segnaletica;meteo;natura;des_circ_a;des_circ_b;veicolo_a;avaria_a;des_psico_a;veicolo_b;avaria_b;des_psico_b;veicolo_c;veicoli_oltre_a_b_c;pedoni_morti_feriti;tot_morti;tot_feriti
2019;Polizia Municipale;2;Martedì;Mattino;COGOLLO DEL CENGIO;SP 350 Val d'Astico;Incrocio;VIA GIOVANNI XXIII INCROCIO VIA CONTRO;11.4238338;45.7840723;0;Asciutto;Assente;Sereno;Scontro frontale-laterale;Procedeva senza rispettare lo stop  (art.145);;Autovettura privata;;;Autovettura privata;;;;0;0;0;1
2019;Polizia Stradale;3;Sabato;Pomeriggio;PIOVENE ROCCHETTE;SP 350 Val d'Astico;Intersezione segnalata;STRADA PROVINCIALE S.P. 350;11.4257440;45.7696170;54.2;Asciutto;Assente;Sereno;Scontro frontale-laterale;Procedeva senza dare la precedenza al veicolo proveniente da destra;;Autovettura privata;;;Autovettura privata;;;;0;0;0;1
2019;Polizia Municipale;1;Mercoledì;Pomeriggio;PIOVENE ROCCHETTE;SP 349 Costo;Rotatoria;LARGO A.PEUGEOT INCROCIO VIA LIBERTA';11.4292128;45.7524656;0;Asciutto;Assente;Sereno;Scontro-laterale;Procedeva senza dare la precedenza al veicolo proveniente da destra;;Autovettura privata;;;Velocipede;;;;0;0;0;1
2019;Polizia Stradale;4;Domenica;Mattino;PIOVENE ROCCHETTE;SP 349 Costo;Rotatoria;STRADA PROVINCIALE S9 349;11.4294280;45.7514820;0;Asciutto;Assente;Sereno;Scontro-laterale;Procedeva senza rispettare il segnale di dare precedenza  (art.145);;Autovettura privata;;;Velocipede;;;;0;0;0;1
2019;Carabiniere;11;Lunedì;Mattino;COGOLLO DEL CENGIO;SP 349 Costo;Rettilineo;SP349 AL KM. 81.4;11.4298200;45.7941000;81.4;Bagnato;Orizzontale;Pioggia;Tamponamento;Procedeva regolarmente;;Autovettura privata;;;Autocarro;;;;0;0;0;2
2019;Carabiniere;3;Sabato;Sera;ROANA;SP 349 Costo;Rettilineo;VIA CAMPIELLO, 125;11.4323614;45.8371258;0;Asciutto;Assente;Sereno;Investimento di pedoni;;Circostanza imprecisata;Veicolo speciale;;;;;;;0;1;0;1
2019;Carabiniere;2;Venerdì;Sera;MALO;SP 046 Pasubio;Rettilineo;VIA VICENZA, 132;11.4328428;45.6393463;0;Asciutto;Assente;Sereno;Scontro frontale-laterale;Manovrava per immettersi nel flusso della circolazione;;Autovettura privata;;;Velocipede;;;;0;0;0;1
2019;Polizia Municipale;4;Sabato;Sera;PIOVENE ROCCHETTE;SP 349 Costo;Curva;VIA GORIZIA, 93;11.4335579;45.7548131;0;Asciutto;Assente;Sereno;Scontro-laterale;Procedeva regolarmente;;Autovettura privata;;;Velocipede;;;;0;0;0;1
2019;Polizia Municipale;4;Mercoledì;Sera;PIOVENE ROCCHETTE;SP 349 Costo;Incrocio;VIA THIENE INCROCIO VIA DEL MARONARO;11.4358716;45.7438942;0;Bagnato;Orizzontale;Pioggia;Scontro frontale-laterale;Procedeva regolarmente senza svoltare;;Autovettura privata;;;Autovettura privata;;;;0;0;0;1
2019;Polizia Municipale;12;Domenica;Pomeriggio;PIOVENE ROCCHETTE;SP 349 Costo;Intersezione segnalata;VIA THIENE INCROCIO VIA DEL MARONARO;11.4358850;45.7439101;0;Asciutto;Assente;Sereno;Scontro frontale-laterale;Procedeva senza rispettare il segnale di dare precedenza  (art.145);;Autovettura privata;;;Autovettura privata;;;;0;0;0;1
